path,exposure_seconds,method,source
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif1608.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/640)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif4520.txt,0.009,exposure_val_secs,"-Exposure
0.009 sec (9/1000)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif232.txt,0.004,exposure_val_secs,"-Exposure
0.004 sec (1/250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9539.txt,0.022,exposure_val_secs,"-Exposure
0.022 sec (1/45)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif19670.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif23256.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/400)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif21409.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/400)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif19251.txt,0.025,exposure_val_secs,"-Exposure
0.025 sec (1/40)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif569.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif24374.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/800)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif2759.txt,0.013,exposure_val_secs,"-Exposure
0.013 sec (1/80)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif22590.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/400)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif7550.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/120)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif15126.txt,8.9,exposure_val_secs,"-Exposure
8.9 sec (89/10)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif11591.txt,0.033,exposure_val_secs,"-Exposure
0.033 sec (1/30)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif8230.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif3210.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/1000)"
